"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/01/2025";"2000";"26,4";"";"";"55,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2100";"23,4";"";"";"64,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"2300";"20,2";"";"";"89,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0000";"20,0";"";"";"90,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"03/01/2025";"0100";"19,8";"";"";"89,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0200";"19,7";"";"";"88,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"0400";"19,5";"";"";"88,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,7"
"03/01/2025";"0500";"19,2";"";"";"90,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"1,7"
"03/01/2025";"0600";"19,0";"";"";"91,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0700";"18,8";"";"";"91,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0800";"18,7";"";"";"91,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0900";"18,7";"";"";"91,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1000";"19,0";"";"";"89,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1100";"20,7";"";"";"79,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1200";"23,3";"";"";"68,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1300";"24,8";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1400";"24,9";"";"";"66,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1500";"26,5";"";"";"58,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"1700";"26,8";"";"";"58,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1800";"26,3";"";"";"62,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"2000";"24,8";"";"";"67,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2100";"24,6";"";"";"63,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2200";"24,4";"";"";"65,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2300";"22,2";"";"";"77,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0000";"21,8";"";"";"77,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0100";"21,4";"";"";"79,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0200";"20,7";"";"";"82,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0400";"20,0";"";"";"84,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
